Number,Size,Type,Time(days),Deep(cm),Length(cm),HRT(hours),COD(mg/L),TN(mg/L),NH3-N(mg/L),C/N,c(A)(¦Ìg/L),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RE(TN),RE(A)
88,laboratory-scale systems,VFCW,30 ,5.0 ,5.0 ,52.8 ,400.00 ,35.00 ,30.00 ,11.43 ,0.00 ,40 ,0.0 ,0 ,53.0599 ,0.7464 ,43.3944 ,1.5399 ,0.4653 ,0.0000 
89,laboratory-scale systems,VFCW,25 ,60.0 ,60.0 ,10.6 ,400.00 ,35.00 ,30.00 ,11.43 ,400.00 ,40 ,-0.7 ,1359 ,26.7762 ,5.2376 ,9.1535 ,3.6785 ,0.5082 ,0.8728 
90,laboratory-scale systems,VFCW,30 ,5.0 ,5.0 ,52.8 ,400.00 ,35.00 ,30.00 ,11.43 ,0.00 ,40 ,0.0 ,0 ,82.6385 ,1.0886 ,14.9707 ,0.0000 ,0.6119 ,0.0000 
91,laboratory-scale systems,VFCW,25 ,60.0 ,60.0 ,10.6 ,400.00 ,35.00 ,30.00 ,11.43 ,400.00 ,40 ,-0.7 ,1359 ,21.3868 ,72.6915 ,3.1225 ,1.2832 ,0.2285 ,0.8728 
92,laboratory-scale systems,VFCW,30 ,5.0 ,5.0 ,52.8 ,400.00 ,35.00 ,30.00 ,11.43 ,0.00 ,40 ,0.0 ,0 ,46.7943 ,0.7892 ,50.4300 ,0.8982 ,0.5254 ,0.0000 
93,laboratory-scale systems,VFCW,25 ,60.0 ,60.0 ,10.6 ,400.00 ,35.00 ,30.00 ,11.43 ,400.00 ,40 ,-0.7 ,1359 ,14.1153 ,67.6870 ,2.9086 ,1.0693 ,0.2575 ,0.9844 
94,laboratory-scale systems,VFCW,30 ,5.0 ,5.0 ,52.8 ,400.00 ,35.00 ,30.00 ,11.43 ,0.00 ,40 ,0.0 ,0 ,29.0625 ,0.0000 ,12.5327 ,2.0104 ,0.8363 ,0.0000 
95,laboratory-scale systems,VFCW,25 ,60.0 ,60.0 ,10.6 ,400.00 ,35.00 ,30.00 ,11.43 ,400.00 ,40 ,-0.7 ,1359 ,22.6272 ,67.2165 ,5.0045 ,0.0000 ,0.3466 ,0.9844 
96,laboratory-scale systems,VFCW,0 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,33.1658 ,0.0000 ,4.6584 ,35.8184 ,0.9683 ,0.0000 
97,laboratory-scale systems,VFCW,34 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,37.8369 ,0.0000 ,5.9243 ,24.1892 ,0.9715 ,0.0000 
98,laboratory-scale systems,VFCW,65 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,34.9549 ,0.0000 ,3.8398 ,35.7509 ,0.9381 ,0.0000 
